School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Special Education,448,Cora Howe School,443,37206,,,,,6,1,9,10,4,12,10,8,6,14,19,,1,60,5,,33,80,19,49,98,6,36.18893027,-86.73458329,"(36.18893027, -86.73458329)"
18-19,Middle School,770,West End Middle,690,37205,,,,,,,,140,147,111,122,,,,,1,18,220,27,1,253,269,251,139,102,26,36.13197471,-86.82432265,"(36.13197471, -86.82432265)"
18-19,Elementary School,152,Ivanetta H. Davis Learning Center at Bordeaux,7010,37218,44,131,,,,,,,,,,,,,,1,3,131,12,,28,97,78,97,51,4,36.19158751,-86.83263571,"(36.19158751, -86.83263571)"
18-19,High School,325,Glencliff High School,245,37211,,,,,,,,,,,,345,278,285,256,,62,246,646,,210,624,540,534,121,533,36.10140068,-86.72746929,"(36.10140068, -86.72746929)"
18-19,Elementary School,230,Hattie Cotton Elementary,140,37206,,18,49,45,48,37,59,,,,,,,,,,2,163,48,,43,138,118,163,38,39,36.19107041,-86.74772151,"(36.19107041, -86.74772151)"
18-19,Middle School,730,Two Rivers Middle,650,37214,,,,,,,,125,110,102,110,,,,,3,10,196,110,1,127,215,232,237,69,120,36.19446724,-86.67397377,"(36.19446724, -86.67397377)"
18-19,Elementary School,590,Napier Elementary,510,37210,11,44,73,56,55,55,48,,,,,,,,,1,,314,21,,6,167,175,322,49,18,36.15002117,-86.75639911,"(36.15002117, -86.75639911)"
18-19,High School,182,Cane Ridge High School,77,37013,,,,,,,,,,,,411,482,429,398,3,153,685,586,2,291,899,821,665,190,459,36.03028843,-86.62123021,"(36.03028843, -86.62123021)"
18-19,Elementary School,308,Fall-Hamilton Elementary,220,37203,16,41,66,63,56,45,45,,,,,,,,,,4,215,66,,47,179,153,201,70,51,36.13347184,-86.76620628,"(36.13347184, -86.76620628)"
18-19,Elementary School,715,Sylvan Park Elementary,630,37209,,,90,90,91,75,82,,,,,,,,,,14,148,18,3,245,230,198,91,77,7,36.14422371,-86.84459504,"(36.14422371, -86.84459504)"
